0.75,0.125,0.5
0.25,0.035,0.18
0.375,0.035,0.305
0.25,0.049,0.152
0.25,0.065,0.12
0.5,0.035,0.43
0.3125,0.049,0.2145
0.375,0.058,0.259
0.1875,0.035,0.1175
1,0.125,0.75
0.25,0.058,0.134
0.375,0.065,0.245
0.3125,0.065,0.1825
0.625,0.035,0.555
0.5,0.028,0.444
0.5,0.049,0.402
0.375,0.049,0.277
0.4375,0.035,0.3675
0.5,0.065,0.37
1,0.035,0.93
0.625,0.058,0.509
0.5,0.058,0.384
0.875,0.058,0.759
1,0.049,0.902
0.75,0.035,0.68
0.4375,0.065,0.3075
0.875,0.049,0.777
1.125,0.035,1.055
1,0.065,0.87
1.125,0.049,1.027
1,0.058,0.884
1.125,0.125,0.875
2.5,0.065,2.37
0.5,0.083,0.334
0.75,0.049,0.652
1.25,0.25,0.75
1.125,0.058,1.009
0.625,0.049,0.527
0.75,0.065,0.62
0.625,0.065,0.495
1.25,0.049,1.152
1.25,0.058,1.134
0.75,0.058,0.634
1.375,0.049,1.277
0.875,0.065,0.745
1.25,0.035,1.18
0.5,0.12,0.26
1.5,0.049,1.402
1,0.25,0.5
1.25,0.065,1.12
1,0.125,0.75
3,0.125,2.75
1,0.083,0.834
1.375,0.035,1.305
1.375,0.058,1.259
0.875,0.035,0.805
1.5,0.065,1.37
1.375,0.065,1.245
1.25,0.125,1
1.625,0.058,1.509
1.25,0.083,1.084
1.625,0.049,1.527
1.75,0.065,1.62
1.5,0.035,1.43
2,0.125,1.75
0.75,0.125,0.5
0.75,0.095,0.56
1.5,0.058,1.384
1,0.095,0.81
0.625,0.125,0.375
1.5,0.188,1.124
1.125,0.065,0.995
2,0.035,1.93
2.25,0.125,2
2,0.065,1.87
1.5,0.25,1
1.5,0.083,1.334
0.875,0.12,0.635
2,0.058,1.884
1.875,0.058,1.759
1.875,0.049,1.777
2.5,0.125,2.25
1.75,0.25,1.25
2.25,0.049,2.152
0.75,0.083,0.584
1.75,0.058,1.634
1.75,0.083,1.584
1.25,0.095,1.06
1.5,0.125,1.25
1.375,0.125,1.125
2,0.083,1.834
2.75,0.125,2.5
2,0.375,1.25
3.5,0.125,3.25
2.25,0.065,2.12
2.5,0.065,2.37
1.75,0.125,1.5
1.5,0.095,1.31
2,0.25,1.5
3.25,0.25,2.75
4,0.125,3.75
1.625,0.125,1.375
1.5,0.375,0.75
1,0.1875,0.625
1,0.25,0.5
3,0.1875,2.625
2.5,0.25,2
2.75,0.25,2.25
4.5,0.125,4.25
3,0.065,2.87
1.375,0.25,0.875
5,0.125,4.75
3,0.25,2.5
8,0.125,7.75
3.5,0.1875,3.125
2.75,0.065,2.62
3,0.75,1.5
3.5,0.25,3
2.5,0.375,1.75
1.125,0.25,0.625
6,0.125,5.75
2.5,0.5,1.5
4,0.1875,3.625
3,0.375,2.25
3.5,0.065,3.37
5,0.1875,4.625
4,0.25,3.5
7,0.125,6.75
5,0.25,4.5
4.5,0.25,4
4,0.065,3.87
5,0.065,4.87
6,0.25,5.5
6,0.1875,5.625
3.5,0.5,2.5
3.5,0.375,2.75
5.5,0.25,5
4.5,0.375,3.75
4,0.5,3
8,0.25,7.5
4.25,0.5,3.25
6,0.5,5
4.5,0.5,3.5
4.5,0.75,3
5,0.5,4
7,0.25,6.5
7,0.5,6
8,0.5,7
12,0.25,11.5
7.5,0.5,6.5
9,0.5,8
9,1,7
8,1.5,5
8.5,0.5,7.5
